metabolite,z_score_adjacent,fdr_adjacent,communication_score_adjacent,z_score_fibrotic,fdr_fibrotic,communication_score_fibrotic,fibrotic_minus_adjacent_z,fibrotic_minus_adjacent_score
Phosphate,11.37520326132067,9.233707061440955e-30,1423.2062884916438,9.643514597347108,7.465376366118965e-22,1165.1912057422485,-1.7316886639735625,-258.01508274939533
17a-Ethynylestradiol,12.164437315568497,8.653438253781068e-34,682.2572799316438,10.429048277649894,2.7536873676063933e-25,674.8628050543257,-1.735389037918603,-7.394474877318089
"3',4'-Dihydrodiol",12.164437315568497,8.653438253781068e-34,682.2572799316438,10.429048277649894,2.7536873676063933e-25,674.8628050543257,-1.735389037918603,-7.394474877318089
Succinate,19.34323935685882,6.972203076041846e-83,1642.1047836036996,17.459249999172886,6.571416264275896e-68,1468.6640976292338,-1.883989357685934,-173.44068597446585
Sodium_calcium exchange,2.731123295213288,0.004939736340062824,130.38883557825267,0.7135947713773196,0.28023970401604514,26.531241356554517,-2.017528523835968,-103.85759422169815
L-Dopa,20.64169277766271,3.9126544524510954e-94,2071.4978110835586,18.333031959765034,1.0814886586892158e-74,1862.352822498327,-2.3086608178976746,-209.14498858523166
D-Xylose,5.0461215281903335,4.27138755777521e-07,147.682474814182,2.6613854447182375,0.0057816835296742985,98.94951926337076,-2.384736083472096,-48.73295555081124
D-Maltose,5.0461215281903335,4.27138755777521e-07,147.682474814182,2.6613854447182375,0.0057816835296742985,98.94951926337076,-2.384736083472096,-48.73295555081124
Creatine,11.596263107965102,7.498465874235824e-31,707.9514123533097,9.195778855278993,5.167941072413167e-20,620.754447192215,-2.400484252686109,-87.19696516109468
Vitamin C,5.586667781633231,2.3808128403004957e-08,304.56939963056425,2.785211932830239,0.004031060599805622,161.80244812348352,-2.801455848802992,-142.76695150708073
Nicotinate,26.357322361110857,2.404720240480491e-152,4129.484004735981,22.44687842928314,4.023064391885215e-111,3178.1258948702525,-3.910443931827718,-951.3581098657287
Inosine,5.078057533428649,3.6769490885838255e-07,287.0169357031977,1.1600059518265577,0.1545112701938059,66.50177914758781,-3.918051581602091,-220.5151565556099
Uridine,5.078057533428649,3.6769490885838255e-07,287.0169357031977,1.1600059518265577,0.1545112701938059,66.50177914758781,-3.918051581602091,-220.5151565556099
Cytidine,5.078057533428649,3.6769490885838255e-07,287.0169357031977,1.1600059518265577,0.1545112701938059,66.50177914758781,-3.918051581602091,-220.5151565556099
Guanosine,5.078057533428649,3.6769490885838255e-07,287.0169357031977,1.1600059518265577,0.1545112701938059,66.50177914758781,-3.918051581602091,-220.5151565556099
Adenosine,5.078057533428649,3.6769490885838255e-07,287.0169357031977,1.1600059518265577,0.1545112701938059,66.50177914758781,-3.918051581602091,-220.5151565556099
Thymidine,5.078057533428649,3.6769490885838255e-07,287.0169357031977,1.0653539475307647,0.17793244520830986,77.33271971336298,-4.012703585897884,-209.68421598983474
Serotonin,11.590051337303544,7.934658085684648e-31,339.2006029094283,7.116937486203661,1.3381705587298892e-12,264.60561895868886,-4.473113851099883,-74.59498395073945
Glucosamine,11.018328256948859,5.02596307837262e-28,1119.9676149803136,6.400926061043727,1.851493268725561e-10,592.9490212300846,-4.617402195905132,-527.018593750229
D-Glucose,16.640479695693557,9.345021651009756e-62,4983.91809340285,11.928227155175094,1.369077695354966e-32,3096.917406670172,-4.712252540518463,-1887.0006867326779
D-Mannose,15.073826811604013,5.200296843444505e-51,1861.3403014645028,10.143857891982536,5.243526375627556e-24,1191.9321768967482,-4.929968919621476,-669.4081245677546
Sodium_nucleoside symport,10.742403870048769,1.0219778753230745e-26,544.3766366822482,5.040266925279268,3.987410987181791e-07,286.3934103371916,-5.7021369447695,-257.9832263450566
Fusidic Acid,9.240195894976923,3.451039825160427e-20,270.42848451321834,2.4850046685038274,0.00949131744052696,92.39173446434711,-6.755191226473095,-178.03675004887123
Bilirubin,9.240195894976923,3.451039825160427e-20,270.42848451321834,2.4850046685038274,0.00949131744052696,92.39173446434711,-6.755191226473095,-178.03675004887123
Docosahexaenoic acid,10.349194215587907,6.419499474288568e-25,846.339648732035,3.0786535689305885,0.0016012769066108491,236.07504946951929,-7.270540646657318,-610.2645992625157
Dehydroascorbic acid,10.349194215587907,6.419499474288568e-25,846.339648732035,3.0786535689305885,0.0016012769066108491,236.07504946951929,-7.270540646657318,-610.2645992625157
D-Fructose,34.4085295623719,1.3534312047950026e-258,7600.844369373837,26.998305223651432,7.772782682270216e-160,5409.346033211074,-7.410224338720472,-2191.498336162763
Butyrate,19.669643634930033,1.2112339711197829e-85,1705.257596628792,11.642471115430515,4.006548083173586e-31,826.9047882263669,-8.027172519499517,-878.3528084024251
Ethanol,9.45719961237289,4.616278473314039e-21,276.7794306507377,1.1338637514162528,0.16034233609665227,65.00307749404836,-8.323335860956636,-211.77635315668937
Vitamin A,51.02056261769151,0.0,10432.702884694572,39.8313602247351,0.0,12349.336991566379,-11.18920239295641,1916.6341068718066
Citrate,42.772295746503445,0.0,1251.7967421195012,25.959974444762857,5.920770866570783e-148,965.184128626144,-16.81232130174059,-286.61261349335723
Fumarate,42.772295746503445,0.0,1251.7967421195012,25.959974444762857,5.920770866570783e-148,965.184128626144,-16.81232130174059,-286.61261349335723
Malate,42.772295746503445,0.0,1251.7967421195012,25.959974444762857,5.920770866570783e-148,965.184128626144,-16.81232130174059,-286.61261349335723
alpha-Tocopherol,39.39126918044732,0.0,4111.2619508521175,21.814457226591873,4.823505743181702e-105,2036.5188401027594,-17.576811953855444,-2074.743110749358
Glycyl-glycine,66.3724782588521,0.0,1942.4922277551705,47.02383031112502,0.0,1748.3320247514005,-19.34864794772708,-194.16020300377
Lysophosphatidylcholine,40.33304823031586,0.0,1180.4084277750153,16.539924465929904,4.159766336903136e-61,614.9494722022491,-23.793123764385957,-565.4589555727662
Bile acid,53.05817555557016,0.0,4354.657051568719,24.319967793451525,4.1024993002850364e-130,1700.4595831147233,-28.738207762118634,-2654.1974684539955
Propionate,45.861011527432275,0.0,1342.1927399124388,13.486495547617574,3.3584402999687966e-41,501.42389319545987,-32.3745159798147,-840.7688467169789
beta-Dhydroxybutyrate,45.861011527432275,0.0,1342.1927399124388,13.486495547617574,3.3584402999687966e-41,501.42389319545987,-32.3745159798147,-840.7688467169789
Urea,264.8266319218985,0.0,7750.556973398211,42.85814256543964,0.0,8161.408427279153,-221.9684893564589,410.85145388094224
