marker_set,cell_type,spearman_r,p_value,n_slides
Epithelial,Melanocyte,0.38646616541353385,0.09234164249328163,20
Fibroblast,Vascular_endothelia,0.38195488721804516,0.09653857766782023,20
B_plasma,Cycling_epithelia,0.37529910851135906,0.10298264081848718,20
Macrophage,Unconventional_T/ILC,0.37364591170473577,0.10463054875238102,20
Macrophage,Treg,0.37293233082706767,0.10534772296212676,20
Endothelial,DC,0.3714285714285714,0.10687070696592824,20
Macrophage,Conventional_CD4,0.3699248120300751,0.10840956155377553,20
Macrophage,Cycling_epithelia,0.3637767674605717,0.11486784125104012,20
B_plasma,Macrophage,0.3533834586466165,0.12640665077932195,20
Fibroblast,Myoblast/myocyte,0.34337388338074976,0.13827666769608826,20
Secretory,Melanocyte,0.33233082706766914,0.15225878917036062,20
B_cells,Neuron_progenitor,0.3181886533783943,0.17156100762431636,20
B_cells,Mesoderm,0.31804590386318904,0.17176397773743332,20
Endothelial,Mature_B,0.3082706766917293,0.18605556077810148,20
Endothelial,Immature_B,0.3082706766917293,0.18605556077810148,20
B_plasma,Keratinocyte,0.30329594890141803,0.19362824197555117,20
Absorptive,Myofibroblast,0.30075187969924805,0.19757966317255532,20
Macrophage,NK,0.2924326342065587,0.21087574628252578,20
Absorptive,Salivary/Submucosal_glands,0.29091743921066976,0.21335946721424817,20
B_cells,Cycling_epithelia,0.28970457499122454,0.21536144672537727,20
B_cells,Keratinocyte,0.2893142207605725,0.21600839451984055,20
B_plasma,Mesoderm,0.2796345628169102,0.23246042366467343,20
Endothelial,Conventional_CD8,0.27368421052631575,0.24296636906130648,20
Endothelial,Cycling_endothelia,0.2711689359239066,0.24749753178482617,20
Absorptive,Erythrocyte,0.26917293233082706,0.25113145369079015,20
Myofibroblast,Granulocyte,0.26917293233082706,0.25113145369079015,20
Endothelial,Cycling_T/NK,0.26172174672502674,0.2649961411240755,20
Absorptive,Neuron,0.26165413533834586,0.2651241095103528,20
Macrophage,Pericyte,0.2571428571428572,0.27375050350001545,20
Fibroblast,B_plasma,0.2526315789473684,0.28255005726391963,20
Myofibroblast,Lymphatic_endothelia,0.25112781954887214,0.2855217106335981,20
Absorptive,Glia,0.24060150375939846,0.3068610916782757,20
B_plasma,Granulocyte,0.23759398496240602,0.3131305637442673,20
Epithelial,Cycling_epithelia,0.2288007722942057,0.33189864844508193,20
B_plasma,Neuron_progenitor,0.22727760955599594,0.33521570988551563,20
Endothelial,NK,0.2257640543874469,0.3385310953275514,20
Epithelial,Erythrocyte,0.22406015037593985,0.3422863508112142,20
Absorptive,Epithelial_progenitor,0.22369293960946754,0.343098826349236,20
Secretory,Epithelial_progenitor,0.22369293960946754,0.343098826349236,20
