metabolite,cell_type,spearman_r,p_value,n_slides
L-Cysteine,Transit_amplifying,-0.2823170464358972,0.25634936764574673,18
Fatty acid,Basal,-0.28291175685510406,0.2553059323779439,18
L-Asparagine,Intestinal_Cajal_cell,-0.2831988300920102,0.2548032096114252,18
Cholesterol,Neuron_progenitor,-0.28341325501446535,0.2544281142135869,18
L-Leucine,Smooth_muscle,-0.28586171310629516,0.2501695935454806,18
Cholic acid,Pericyte,-0.28586171310629516,0.2501695935454806,18
Citric acid,Secretory,-0.29205366357069146,0.23960176390544208,18
L-Histidine,Megakaryocyte/platelet,-0.29205366357069146,0.23960176390544208,18
Bile acid,Basal,-0.2926294400025709,0.30996934326994147,14
Propionate,Unconventional_T/ILC,-0.2948185205998629,0.3788068450419618,11
beta-Dhydroxybutyrate,Unconventional_T/ILC,-0.2948185205998629,0.3788068450419618,11
L-Alanine,Enteroendocrine,-0.2961816305469556,0.23271685741068446,18
L-Serine,Epithelial_stem,-0.2995777353186939,0.22714856492731705,18
L-Alanine,Intestinal_Cajal_cell,-0.2997965637237764,0.22679273805774677,18
L-Leucine,Basal,-0.3045947747162616,0.21908070979530134,18
L-Serine,Glia,-0.3065015479876161,0.2160637946112576,18
Cholic acid,Fibroblast,-0.3065015479876161,0.2160637946112576,18
Urea,Vascular_endothelia,-0.30882352941176466,0.24449869579851782,16
L-Serine,Myofibroblast,-0.3106295149638803,0.20962534083657888,18
Bile acid,Vascular_endothelia,-0.3142857142857143,0.27380490296286775,14
beta-Dhydroxybutyrate,NK,-0.3146426544510455,0.34599366149447675,11
Propionate,NK,-0.3146426544510455,0.34599366149447675,11
L-Asparagine,Melanocyte,-0.31475748194014447,0.20331354771785817,18
L-Cysteine,Intestinal_Cajal_cell,-0.3153569390035571,0.2024074619089801,18
L-Histidine,Mesoderm,-0.31597129765034143,0.20148161111044924,18
Cholesterol,Myoblast/myocyte,-0.3174774111934815,0.1992236721575516,18
L-Leucine,Microfold,-0.3246931641714256,0.18863775800100063,18
L-Alanine,Salivary/Submucosal_glands,-0.32639939328236584,0.1861904668195336,18
L-Histidine,Glia,-0.32714138286893707,0.18513284759128776,18
L-Cysteine,Basal,-0.33350546519780516,0.17622615991667426,18
L-Leucine,Absorptive,-0.3353973168214654,0.17363506116754218,18
Cholic acid,DC,-0.33952528379772956,0.16807083488832178,18
Fatty acid,NK,-0.34308434629360496,0.16337145953992094,18
L-Cysteine,Melanocyte,-0.34365325077399383,0.1626286535167655,18
Urea,Treg,-0.34411764705882353,0.19185563142554296,16
L-Asparagine,Transit_amplifying,-0.34436474894928126,0.1617029052994312,18
Citric acid,Smooth_muscle,-0.347781217750258,0.15730765714242592,18
Cholesterol,Macrophage,-0.347781217750258,0.15730765714242592,18
L-Asparagine,Absorptive,-0.347781217750258,0.15730765714242592,18
Cholic acid,B_plasma,-0.3498452012383901,0.15469232181385817,18
L-Asparagine,Basal,-0.3500258597586871,0.1544648313177019,18
Fatty acid,Immature_B,-0.35397316821465424,0.1495513888590625,18
Cholic acid,Immature_B,-0.3560371517027864,0.1470255476478887,18
L-Serine,Megakaryocyte/platelet,-0.36016511867905054,0.14206248632367482,18
Citric acid,Glia,-0.36016511867905054,0.14206248632367482,18
Fatty acid,Cycling_epithelia,-0.3605222053400769,0.14163868757468476,18
L-Serine,Mesoderm,-0.361854918431249,0.14006473189097057,18
Citric acid,Megakaryocyte/platelet,-0.3622291021671827,0.13962500641700296,18
L-Cysteine,Absorptive,-0.3663570691434469,0.13483747906980886,18
Cholic acid,Mature_B,-0.3663570691434469,0.13483747906980886,18
L-Serine,Transit_amplifying,-0.371252086705081,0.12931013975713657,18
Cholic acid,Cycling_T/NK,-0.37375237801310723,0.12654900477184192,18
Urea,Cycling_endothelia,-0.3774902118057102,0.14945612635320207,16
Fatty acid,Mature_B,-0.3787409700722394,0.12116422586370856,18
Fatty acid,B_plasma,-0.3787409700722394,0.12116422586370856,18
Cholic acid,Conventional_CD8,-0.3828689370485036,0.11683232301276776,18
Citric acid,Myofibroblast,-0.3828689370485036,0.11683232301276776,18
Cholic acid,Macrophage,-0.38493292053663575,0.11470802686534462,18
Cholic acid,Unconventional_T/ILC,-0.3859307182684725,0.11369096344120455,18
L-Leucine,Mesothelium,-0.38789740432855396,0.11170509136648932,18
L-Leucine,Myofibroblast,-0.38906088751289986,0.11054194705770325,18
Urea,Conventional_CD4,-0.3941176470588235,0.13091285429899088,16
L-Cysteine,Microfold,-0.39419617375444643,0.10551114004540925,18
L-Leucine,Melanocyte,-0.3973168214654283,0.10253523912493727,18
L-Asparagine,Mesothelium,-0.3983458192599629,0.10156730911591981,18
L-Leucine,Neuron_progenitor,-0.40095792299281513,0.0991397266773542,18
L-Leucine,Glia,-0.40350877192982454,0.09680965248246642,18
L-Serine,Mesothelium,-0.4035700267256673,0.09675418949142361,18
L-Asparagine,Microfold,-0.40768183233025646,0.09308334939157968,18
Cholic acid,Granulocyte,-0.413828689370485,0.08778525139466073,18
L-Serine,Neuron,-0.413828689370485,0.08778525139466073,18
L-Leucine,Mesoderm,-0.4160810157177763,0.08589997083339627,18
Cholic acid,Myoblast/myocyte,-0.4167537352148959,0.08534264648900035,18
L-Serine,Intestinal_Cajal_cell,-0.41701805749812487,0.08512438788639082,18
L-Histidine,Neuron,-0.4179566563467492,0.08435264811978462,18
L-Alanine,Mesothelium,-0.41924264912278064,0.08330357957048898,18
L-Cysteine,Mesothelium,-0.42185475285563284,0.0812021065919478,18
Urea,Keratinocyte,-0.42282248439915926,0.1027438373353655,16
Fatty acid,Unconventional_T/ILC,-0.4242048390884862,0.0793448290536306,18
L-Serine,Melanocyte,-0.4262125902992776,0.07778293683965697,18
Cholesterol,Basal,-0.4367579312033176,0.06994792069383919,18
Bile acid,Granulocyte,-0.43736263736263736,0.11784483174447688,14
Urea,Cycling_T/NK,-0.4375375133977109,0.09010054627754954,16
L-Alanine,Basal,-0.4377904558633727,0.06921344933358113,18
Citric acid,Melanocyte,-0.44272445820433437,0.06578236404039446,18
Urea,Fibroblast,-0.44705882352941173,0.08253692339537141,16
Citric acid,Intestinal_Cajal_cell,-0.45228824146562796,0.05949395493609722,18
L-Histidine,Intestinal_Cajal_cell,-0.4533255998176134,0.05883994010454114,18
Bile acid,Macrophage,-0.45494505494505494,0.10215352669182919,14
L-Alanine,Lymphatic_endothelia,-0.45510835913312697,0.05772857159967156,18
Bile acid,Cycling_endothelia,-0.4597965559260359,0.09809151180313044,14
Citric acid,Absorptive,-0.4613003095975232,0.053990476377347364,18
Citric acid,Microfold,-0.46369918333746724,0.052592333673136406,18
Bile acid,Treg,-0.46373626373626364,0.0948763315088997,14
Bile acid,Fibroblast,-0.46373626373626364,0.0948763315088997,14
L-Histidine,Melanocyte,-0.4654282765737873,0.051601612000717,18
L-Leucine,Lymphatic_endothelia,-0.4674922600619195,0.050437519451044396,18
Urea,Unconventional_T/ILC,-0.4697585304420526,0.06636296471450648,16
Cholic acid,Vascular_endothelia,-0.47368421052631576,0.047064111171724266,18
L-Cysteine,Lymphatic_endothelia,-0.4757481940144479,0.0459785720312123,18
Urea,NK,-0.47766514722122566,0.061315233298872805,16
L-Asparagine,Lymphatic_endothelia,-0.479876160990712,0.04386464036882086,18
Fatty acid,Conventional_CD8,-0.48194014447884415,0.042835831246999204,18
Bile acid,Conventional_CD4,-0.48571428571428577,0.07827588645863326,14
L-Serine,Lymphatic_endothelia,-0.4901960784313726,0.038903445723445826,18
Cholic acid,NK,-0.4932489233947574,0.037521615695963406,18
Citric acid,Lymphatic_endothelia,-0.500515995872033,0.034383779176359076,18
Urea,DC,-0.5058823529411764,0.04558161612394021,16
Citric acid,Neuron,-0.5067079463364293,0.03187313226051144,18
beta-Dhydroxybutyrate,Vascular_endothelia,-0.5090909090909091,0.10973723224165634,11
Propionate,Vascular_endothelia,-0.5090909090909091,0.10973723224165634,11
Urea,Immature_B,-0.5176470588235293,0.04000179295956071,16
Bile acid,Keratinocyte,-0.5229455610816853,0.05501314158664378,14
Urea,Mature_B,-0.5264705882352941,0.036166514972245434,16
beta-Dhydroxybutyrate,Myofibroblast,-0.5272727272727273,0.09556521835315425,11
Propionate,Myofibroblast,-0.5272727272727273,0.09556521835315425,11
L-Leucine,Enteroendocrine,-0.5273477812177503,0.024513917732196123,18
L-Leucine,Intestinal_Cajal_cell,-0.5290527595125465,0.023971283867193906,18
Urea,Macrophage,-0.5294117647058824,0.03495200678951804,16
L-Cysteine,Enteroendocrine,-0.5314757481940144,0.02321633430784389,18
L-Leucine,Neuron,-0.5314757481940144,0.02321633430784389,18
Urea,Conventional_CD8,-0.5323529411764706,0.03376862296023464,16
Urea,B_plasma,-0.5323529411764706,0.03376862296023464,16
L-Cysteine,Salivary/Submucosal_glands,-0.5370469250492601,0.021551010392964608,18
Fatty acid,Cycling_T/NK,-0.541334565204825,0.020334381536911098,18
Fatty acid,DC,-0.541795665634675,0.020206828397558985,18
Propionate,Lymphoid_stromal_cell,-0.5454545454545455,0.08265095734417503,11
beta-Dhydroxybutyrate,Lymphoid_stromal_cell,-0.5454545454545455,0.08265095734417503,11
L-Serine,Absorptive,-0.5459236326109391,0.01909272950987518,18
L-Serine,Microfold,-0.5508372849042397,0.017830285113269118,18
L-Asparagine,Enteroendocrine,-0.5521155830753354,0.017512914698683393,18
L-Histidine,Lymphatic_endothelia,-0.5562435500515995,0.01651840305440491,18
Citric acid,Salivary/Submucosal_glands,-0.559988735439714,0.01565528436416273,18
Fatty acid,Keratinocyte,-0.5607266051840135,0.015489530054052448,18
Bile acid,Unconventional_T/ILC,-0.5609262375406879,0.03690485966944912,14
Fatty acid,Cycling_endothelia,-0.5666696221407599,0.014204640585470756,18
Propionate,Fibroblast,-0.5727272727272729,0.06554305260101852,11
beta-Dhydroxybutyrate,Fibroblast,-0.5727272727272729,0.06554305260101852,11
Propionate,Pericyte,-0.5727272727272729,0.06554305260101852,11
beta-Dhydroxybutyrate,Pericyte,-0.5727272727272729,0.06554305260101852,11
L-Histidine,Epithelial_stem,-0.5802347715646282,0.011588079936465838,18
Cholesterol,Treg,-0.5954592363261093,0.009125961400493128,18
L-Leucine,Megakaryocyte/platelet,-0.5975232198142414,0.008827374421547778,18
L-Histidine,Secretory,-0.5975232198142414,0.008827374421547778,18
Fatty acid,Treg,-0.6016511867905057,0.008253780479294344,18
L-Asparagine,Salivary/Submucosal_glands,-0.6058723562206216,0.007698686153415742,18
Cholesterol,Monocyte,-0.6078431372549019,0.007450054518883102,18
Bile acid,Immature_B,-0.6087912087912088,0.020856616017223235,14
Fatty acid,Conventional_CD4,-0.6099071207430341,0.0071966585949820045,18
Bile acid,B_plasma,-0.6131868131868132,0.01970633192603883,14
Bile acid,Conventional_CD8,-0.621978021978022,0.017550315290540023,14
Cholic acid,Lymphoid_stromal_cell,-0.6222910216718266,0.005818551360831044,18
L-Histidine,Transit_amplifying,-0.6256476670099553,0.005484538881780591,18
L-Leucine,Salivary/Submucosal_glands,-0.6288141666110754,0.0051838966760319434,18
Cholesterol,Immature_B,-0.6305469556243549,0.005025142219255446,18
Cholesterol,Cycling_endothelia,-0.6347125035985621,0.004659645019666449,18
Bile acid,Mature_B,-0.6351648351648352,0.014657881327289134,14
Cholesterol,Keratinocyte,-0.636972715803936,0.004470585806443411,18
Bile acid,Cycling_T/NK,-0.6376885780298149,0.014148562593386003,14
Cholesterol,B_plasma,-0.6553147574819401,0.0031558468964774404,18
Cholesterol,Unconventional_T/ILC,-0.6559759040541254,0.0031151715832297305,18
Cholesterol,Conventional_CD4,-0.6615067079463364,0.002791461831762224,18
Bile acid,DC,-0.665934065934066,0.009322999096841762,14
Bile acid,NK,-0.6675843122367962,0.009086841437676416,14
Citric acid,Enteroendocrine,-0.6676986584107326,0.002462394297708647,18
Cholesterol,Mature_B,-0.6676986584107326,0.002462394297708647,18
L-Serine,Enteroendocrine,-0.6697626418988648,0.0023600851881755394,18
L-Histidine,Absorptive,-0.6821465428276574,0.0018170810177521768,18
L-Histidine,Salivary/Submucosal_glands,-0.6892971212768174,0.001553753317460502,18
Cholesterol,NK,-0.6955539786560321,0.001350056074994488,18
Cholesterol,Conventional_CD8,-0.7048503611971104,0.0010886663167765575,18
Bile acid,Monocyte,-0.7186813186813187,0.003779579961412291,14
Urea,Lymphoid_stromal_cell,-0.7205882352941175,0.0016381911638796128,16
Bile acid,Lymphoid_stromal_cell,-0.7230769230769231,0.0034752946180943048,14
L-Histidine,Microfold,-0.7354870715576382,0.0005044283389117635,18
Urea,Monocyte,-0.7529411764705882,0.0007610810731946066,16
L-Serine,Salivary/Submucosal_glands,-0.756036933321774,0.00028363897065946254,18
Cholesterol,Lymphoid_stromal_cell,-0.760577915376677,0.00024790654537860496,18
Cholesterol,Cycling_T/NK,-0.7706575582040175,0.0001819272363063573,18
Cholesterol,DC,-0.7915376676986584,9.10340755405878e-05,18
L-Histidine,Enteroendocrine,-0.8307533539731682,1.9612643482449597e-05,18
Bile acid,Epithelial_progenitor,,,14
Cholesterol,Epithelial_progenitor,,,18
Cholic acid,Epithelial_progenitor,,,18
Citric acid,Epithelial_progenitor,,,18
Fatty acid,Epithelial_progenitor,,,18
L-Alanine,Epithelial_progenitor,,,18
L-Asparagine,Epithelial_progenitor,,,18
L-Cysteine,Epithelial_progenitor,,,18
L-Histidine,Epithelial_progenitor,,,18
L-Leucine,Epithelial_progenitor,,,18
L-Serine,Epithelial_progenitor,,,18
Propionate,Epithelial_progenitor,,,11
Propionate,Keratinocyte,,,11
Urea,Epithelial_progenitor,,,16
beta-Dhydroxybutyrate,Epithelial_progenitor,,,11
beta-Dhydroxybutyrate,Keratinocyte,,,11
