metabolite,cell_type,spearman_r,p_value,n_patients
Citric acid,Neuron_progenitor,0.6214992045540053,0.09999296585091405,8
Fatty acid,Vascular_endothelia,0.6190476190476191,0.10173303745426478,8
Fatty acid,Lymphatic_endothelia,0.6190476190476191,0.10173303745426478,8
L-Asparagine,Myofibroblast,0.6190476190476191,0.10173303745426478,8
L-Cysteine,Neuron,0.6190476190476191,0.10173303745426478,8
Fatty acid,Neuron,0.6190476190476191,0.10173303745426478,8
L-Cysteine,Lymphatic_endothelia,0.6190476190476191,0.10173303745426478,8
Cholic acid,Transit_amplifying,0.6190476190476191,0.10173303745426478,8
Bile acid,Enteroendocrine,0.6,0.28475697986529386,5
Bile acid,Myofibroblast,0.6,0.28475697986529386,5
Bile acid,Smooth_muscle,0.6,0.28475697986529386,5
Bile acid,Erythrocyte,0.6,0.28475697986529386,5
Urea,Melanocyte,0.6,0.208,6
L-Serine,Pericyte,0.5952380952380953,0.11952980613879269,8
Cholesterol,Myofibroblast,0.5952380952380953,0.11952980613879269,8
Cholesterol,Glia,0.5952380952380953,0.11952980613879269,8
L-Cysteine,Pericyte,0.5952380952380953,0.11952980613879269,8
L-Serine,Glia,0.5952380952380953,0.11952980613879269,8
L-Leucine,Fibroblast,0.5952380952380953,0.11952980613879269,8
Citric acid,Cycling_endothelia,0.5868368683374969,0.12619898553608944,8
Urea,Mesothelium,0.5768179036829705,0.23073225195460048,6
Cholesterol,Megakaryocyte/platelet,0.5714285714285715,0.13895995716070672,8
Citric acid,Treg,0.5714285714285715,0.13895995716070672,8
L-Cysteine,Granulocyte,0.5714285714285715,0.13895995716070672,8
Citric acid,Cycling_epithelia,0.5611425419454067,0.14786012226893974,8
L-Asparagine,Megakaryocyte/platelet,0.5476190476190477,0.16002564253889653,8
L-Leucine,Vascular_endothelia,0.5476190476190477,0.16002564253889653,8
L-Serine,Myofibroblast,0.5476190476190477,0.16002564253889653,8
L-Asparagine,Lymphatic_endothelia,0.5476190476190477,0.16002564253889653,8
Citric acid,Conventional_CD8,0.5476190476190477,0.16002564253889653,8
Urea,Smooth_muscle,0.5428571428571429,0.26570262390670546,6
Urea,Glia,0.5428571428571429,0.26570262390670546,6
Citric acid,Salivary/Submucosal_glands,0.523809523809524,0.1827207505397148,8
L-Cysteine,Myofibroblast,0.523809523809524,0.1827207505397148,8
L-Histidine,Pericyte,0.523809523809524,0.1827207505397148,8
Cholesterol,Epithelial_stem,0.523809523809524,0.1827207505397148,8
L-Leucine,Lymphoid_stromal_cell,0.523809523809524,0.1827207505397148,8
L-Serine,Neuron,0.523809523809524,0.1827207505397148,8
Cholic acid,Enteroendocrine,0.523809523809524,0.1827207505397148,8
L-Alanine,Granulocyte,0.5000000000000001,0.2070312499999999,8
L-Histidine,Neuron,0.5000000000000001,0.2070312499999999,8
Cholesterol,Smooth_muscle,0.5000000000000001,0.2070312499999999,8
L-Serine,Smooth_muscle,0.5000000000000001,0.2070312499999999,8
Citric acid,Conventional_CD4,0.5000000000000001,0.2070312499999999,8
L-Alanine,Pericyte,0.4761904761904762,0.23293553465009798,8
L-Alanine,Myofibroblast,0.4761904761904762,0.23293553465009798,8
L-Leucine,Glia,0.4761904761904762,0.23293553465009798,8
L-Histidine,Macrophage,0.4761904761904762,0.23293553465009798,8
L-Alanine,Lymphatic_endothelia,0.4523809523809524,0.2604047674368853,8
