Patient_ID,feature,difference,analysis_layer,feature_class,region,gene
106392,Estradiol,6.5747748593117805,harreman_metabolite_z,metabolite,,
106392,Estriol,0.8899696673168802,harreman_metabolite_z,metabolite,,
106392,Estrone sulfate,0.497628283047499,harreman_metabolite_z,metabolite,,
106392,Ethanol,5.066034775494458,harreman_metabolite_z,metabolite,,
106392,Fatty acid,-10.5557976147563,harreman_metabolite_z,metabolite,,
106392,Folic acid,4.6819540961717365,harreman_metabolite_z,metabolite,,
106392,Folinic acid,1.357953437454304,harreman_metabolite_z,metabolite,,
106392,Fumarate,12.690356721436777,harreman_metabolite_z,metabolite,,
106392,Fusidic Acid,1.4041830002170856,harreman_metabolite_z,metabolite,,
106392,GABA,4.426246854091705,harreman_metabolite_z,metabolite,,
106392,Glucosamine,6.681896441895246,harreman_metabolite_z,metabolite,,
106392,Glutathione,1.5961209057417918,harreman_metabolite_z,metabolite,,
106392,Glycerol,0.8899696673168802,harreman_metabolite_z,metabolite,,
106392,Glycine,1.6987069340608532,harreman_metabolite_z,metabolite,,
106392,Glycochenodeoxycholate-3-sulfate,0.1270477798478675,harreman_metabolite_z,metabolite,,
106392,Glycyl-glycine,14.78027977996219,harreman_metabolite_z,metabolite,,
106392,Guanine,-0.0264167625986847,harreman_metabolite_z,metabolite,,
106392,Guanosine,1.9980817280829548,harreman_metabolite_z,metabolite,,
106392,Heme,-5.156728597426149,harreman_metabolite_z,metabolite,,
106392,Heptadecanoic acid,-1.025597268194044,harreman_metabolite_z,metabolite,,
106392,Histamine,0.6968044624004616,harreman_metabolite_z,metabolite,,
106392,Hydrogen carbonate,1.4550159869609551,harreman_metabolite_z,metabolite,,
106392,Hydroxycelecoxib,0.2279907640107692,harreman_metabolite_z,metabolite,,
106392,Hydroxylansoprazole,6.457424791962955,harreman_metabolite_z,metabolite,,
106392,Hyodeoxycholic acid,0.1270477798478675,harreman_metabolite_z,metabolite,,
106392,Hypoxanthine,-0.0264167625986847,harreman_metabolite_z,metabolite,,
106392,Inosine,1.9980817280829548,harreman_metabolite_z,metabolite,,
106392,Iron,-2.1875319416463697,harreman_metabolite_z,metabolite,,
106392,Isoursodeoxycholic acid,0.1270477798478675,harreman_metabolite_z,metabolite,,
106392,Ketone bodies,0.0999309950956881,harreman_metabolite_z,metabolite,,
106392,Kynurenine,0.4213403428493909,harreman_metabolite_z,metabolite,,
106392,L-Alanine,6.690142885742191,harreman_metabolite_z,metabolite,,
106392,L-Arginine,3.8092543108537207,harreman_metabolite_z,metabolite,,
