Disease Label,Absorptive_mean,Absorptive_std,Absorptive_count,B_plasma_mean,B_plasma_std,B_plasma_count,Basal_mean,Basal_std,Basal_count,Conventional_CD4_mean,Conventional_CD4_std,Conventional_CD4_count,Conventional_CD8_mean,Conventional_CD8_std,Conventional_CD8_count,Cycling_T/NK_mean,Cycling_T/NK_std,Cycling_T/NK_count,Cycling_endothelia_mean,Cycling_endothelia_std,Cycling_endothelia_count,Cycling_epithelia_mean,Cycling_epithelia_std,Cycling_epithelia_count,DC_mean,DC_std,DC_count,Enteroendocrine_mean,Enteroendocrine_std,Enteroendocrine_count,Epithelial_progenitor_mean,Epithelial_progenitor_std,Epithelial_progenitor_count,Epithelial_stem_mean,Epithelial_stem_std,Epithelial_stem_count,Erythrocyte_mean,Erythrocyte_std,Erythrocyte_count,Fibroblast_mean,Fibroblast_std,Fibroblast_count,Glia_mean,Glia_std,Glia_count,Granulocyte_mean,Granulocyte_std,Granulocyte_count,Immature_B_mean,Immature_B_std,Immature_B_count,Intestinal_Cajal_cell_mean,Intestinal_Cajal_cell_std,Intestinal_Cajal_cell_count,Keratinocyte_mean,Keratinocyte_std,Keratinocyte_count,Lymphatic_endothelia_mean,Lymphatic_endothelia_std,Lymphatic_endothelia_count,Lymphoid_stromal_cell_mean,Lymphoid_stromal_cell_std,Lymphoid_stromal_cell_count,Macrophage_mean,Macrophage_std,Macrophage_count,Mature_B_mean,Mature_B_std,Mature_B_count,Megakaryocyte/platelet_mean,Megakaryocyte/platelet_std,Megakaryocyte/platelet_count,Melanocyte_mean,Melanocyte_std,Melanocyte_count,Mesoderm_mean,Mesoderm_std,Mesoderm_count,Mesothelium_mean,Mesothelium_std,Mesothelium_count,Microfold_mean,Microfold_std,Microfold_count,Monocyte_mean,Monocyte_std,Monocyte_count,Myoblast/myocyte_mean,Myoblast/myocyte_std,Myoblast/myocyte_count,Myofibroblast_mean,Myofibroblast_std,Myofibroblast_count,NK_mean,NK_std,NK_count,Neuron_mean,Neuron_std,Neuron_count,Neuron_progenitor_mean,Neuron_progenitor_std,Neuron_progenitor_count,Pericyte_mean,Pericyte_std,Pericyte_count,Salivary/Submucosal_glands_mean,Salivary/Submucosal_glands_std,Salivary/Submucosal_glands_count,Secretory_mean,Secretory_std,Secretory_count,Smooth_muscle_mean,Smooth_muscle_std,Smooth_muscle_count,Transit_amplifying_mean,Transit_amplifying_std,Transit_amplifying_count,Treg_mean,Treg_std,Treg_count,Unconventional_T/ILC_mean,Unconventional_T/ILC_std,Unconventional_T/ILC_count,Vascular_endothelia_mean,Vascular_endothelia_std,Vascular_endothelia_count
Adjacent,0.1364206913374834,0.0882512228697862,8,0.10497006120679073,0.11366961977494208,8,5.1676502878420164e-05,3.970693948208323e-05,8,0.002886273091032447,0.005328793139463176,8,0.004849994614418178,0.00748372371329908,8,0.0003046881670322693,0.0006106502355864669,8,2.9494661026918796e-05,5.845123595670465e-05,8,8.408041776795896e-06,1.2692867429444567e-05,8,0.0009674726443170256,0.002241719569855871,8,0.0012771794423738136,0.001074787567541687,8,0.0,0.0,8,0.000550742399944995,0.0004342596073863322,8,0.003080819097231375,0.0030245406564159624,8,0.05346923474723752,0.03729850147627015,8,0.00527966685067349,0.0037924004877522947,8,0.009828128733609793,0.006536252154847992,8,0.00555917636954817,0.01084706906052781,8,0.0001083034709090062,0.00010280644911506287,8,1.881578323585525e-05,5.3219071677637634e-05,8,0.023388067391782057,0.008506989694488024,8,0.03141498397510403,0.01738826926930122,8,0.01865017734253336,0.008171556360263213,8,0.006121413591545362,0.015148915905394668,8,0.0058109157294764,0.002629066429294838,8,0.0037181417457663487,0.001844936917282424,8,9.661355417686768e-05,9.219514037175522e-05,8,1.7622371135822255e-05,3.07962444214473e-05,8,0.026904596105397163,0.022889310808975737,8,0.02516036451342713,0.02090806693663393,8,6.861163342587769e-05,0.00010449940232195038,8,0.15264652347547425,0.0697139772723326,8,8.466726685554642e-05,0.00014021267318326889,8,0.001265529687107537,0.0008041234129481927,8,8.78360896232655e-06,1.8639735390085828e-05,8,0.03809114262106626,0.022616504015178826,8,0.00024257116349298062,0.00031521175406230584,8,0.06779610739269507,0.06649595656524392,8,0.18845666068516667,0.08009347611707394,8,0.00665391622119128,0.007199788797697807,8,0.0016050680002320673,0.003055677987898658,8,2.5093094418915047e-05,4.336823191170027e-05,8,0.07211160166804645,0.035569811036361594,8
Adjacent (Disease Control),0.25698731424370885,0.03444431591139375,2,0.0029144489277539093,0.0028425433176710708,2,9.929114297601954e-05,6.366770197439803e-05,2,0.0001588270110996651,0.000143331887523672,2,0.0010741049965060333,0.0009650966653031262,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,7.187477326231132e-06,2.9989878096660594e-06,2,0.0021680996014788205,0.0008309451474884124,2,2.5416369058773293e-05,7.684209596868595e-06,2,0.00018115790001872105,1.737595834052782e-05,2,0.010436449864852072,0.005721707970555764,2,0.03053601763188308,0.008212888215946861,2,0.0037459360260311235,1.4822264510122704e-05,2,0.003483477520118897,0.001688716654490315,2,0.0001080951650162327,0.00014949736265176065,2,9.958301825503294e-06,1.408316549983151e-05,2,3.2154351315182497e-06,4.547311971924026e-06,2,0.01456038601483546,0.005625133568362877,2,0.00566366192212144,0.003898872815946502,2,0.006338768093788112,0.0014348051899381036,2,6.285834333455908e-06,8.367206307466698e-06,2,0.006472008682198497,0.001818134038029222,2,0.0062228987274685595,0.0010493628703545687,2,0.0,0.0,2,1.9713724057592318e-05,2.7879415927127817e-05,2,0.04147725437009814,0.010181573379004783,2,0.008844562328548307,0.000586179693970761,2,2.8523607397252938e-05,1.807285463961068e-05,2,0.193505746449807,0.013257098562018597,2,4.303958860399516e-05,2.202718028501499e-05,2,0.001331152271626481,0.0002043836025989623,2,0.0,0.0,2,0.03263834312650047,0.0023858007167432875,2,4.189312760529237e-05,8.772775156502127e-06,2,0.025376049573867847,0.015120933206975424,2,0.2701211048629496,0.004450846319016878,2,0.00068621300027829,0.000560268251949961,2,5.9532304184313824e-05,8.419139197677716e-05,2,9.277355375993569e-06,1.312016179568505e-05,2,0.07461458741956842,0.008710530180829642,2
Fibrotic,0.07263020249785743,0.11834153427482784,10,0.30039341711185724,0.15700903713413775,10,2.3783188967685906e-05,2.6752074136819328e-05,10,0.002994097288901221,0.0037487239373418376,10,0.007513931253678196,0.0070763086153187715,10,0.0003684328064796582,0.0006677824205342423,10,4.641643941629625e-05,6.040714377147433e-05,10,4.543740253349416e-05,0.00011579857854388117,10,0.0009671168226860303,0.0010417381578001943,10,0.00049396383482363,0.0007391335786542503,10,0.0,0.0,10,0.0005664558004772357,0.001635674215774405,10,0.0006244074828274345,0.0006522116541911849,10,0.050154558023542274,0.03076640734390344,10,0.0024337710934674685,0.001943163944173335,10,0.011429939083774826,0.008361291771346613,10,0.011785500888051746,0.015796118242910304,10,2.1701716241493962e-05,4.9740751958414116e-05,10,4.461585918191551e-06,1.1752244499998391e-05,10,0.011866601070454789,0.00901285020300111,10,0.05139114790633923,0.035548249058602814,10,0.02692420570210574,0.028709469485686628,10,0.008288373505088409,0.009345366351243454,10,0.0031082356455485183,0.0026679841835345057,10,0.001414341009872225,0.001843812758055201,10,7.239521636689525e-05,9.73644171426849e-05,10,7.168531997161914e-07,2.2668888590827333e-06,10,0.014183023687056207,0.025062817929886235,10,0.04704976256261406,0.05283907630812784,10,2.0176306118426622e-05,2.3992560738953886e-05,10,0.1020852592431744,0.06908533637820814,10,0.00012460609766798983,0.00010286272185825362,10,0.00053266624387489,0.0005028930673369124,10,1.6214414661674654e-05,4.157065822380858e-05,10,0.03449444039466849,0.00892422128253535,10,0.00011694925276709519,0.00033157769329732835,10,0.03498317218887405,0.051029565552767685,10,0.13221773366652873,0.12013136178438281,10,0.002421371092378512,0.0051243016953142675,10,0.0012799831611052064,0.0012613688608923434,10,1.6848304402671515e-05,1.3731709915657331e-05,10,0.06486727873689664,0.01580539738817869,10
