gene,Absorptive,B_plasma,Basal,Conventional_CD4,Conventional_CD8,Cycling_T/NK,Cycling_endothelia,Cycling_epithelia,DC,Enteroendocrine,Epithelial_progenitor,Epithelial_stem,Erythrocyte,Fibroblast,Glia,Granulocyte,Immature_B,Intestinal_Cajal_cell,Keratinocyte,Lymphatic_endothelia,Lymphoid_stromal_cell,Macrophage,Mature_B,Megakaryocyte/platelet,Melanocyte,Mesoderm,Mesothelium,Microfold,Monocyte,Myoblast/myocyte,Myofibroblast,NK,Neuron,Neuron_progenitor,Pericyte,Salivary/Submucosal_glands,Secretory,Smooth_muscle,Transit_amplifying,Treg,Unconventional_T/ILC,Vascular_endothelia,signature_variance
ADGRA2,1.0,1.0,1.0,1.0,1.0,1.0,32.6734488484406,1.0,1.0,1.0,1.0,1.0,1.0,101.61859249073,48.1465181972839,1.0,1.0,134.497284828865,1.0,54.2672023092308,88.6045457476843,1.0,1.0,1.0,1.0,73.4661353578304,1.0,1.0,1.0,1.0,115.215140807542,1.0,1.0,1.0,153.905983509629,1.0,1.0,81.0406613450515,1.0,1.0,1.0,1.0,2.6001129868406814
ADIPOR1,48.8000406514863,44.0561821944105,65.2779120443815,1.0,1.0,66.646095287439,60.093749705349,47.3268845754162,72.0065356880976,48.3277655901794,33.1560120211982,26.404475056158,341.65434725126,1.0,50.2235469762819,1.0,1.0,71.6241272192895,74.27747513807,88.7507868187591,1.0,93.1661646153966,81.033361894112,205.164967862393,92.6938687607565,58.5274846459001,51.6400332860104,35.5889663690649,75.3403512459407,60.3095234352748,1.0,1.0,89.303810502785,54.4316103495467,60.2630996587676,73.4531291248136,1.0,49.3855618126946,1.0,57.0033762962036,1.0,72.1122083009335,2.599459917529983
EMC3,1.0,1.0,46.0359745636791,1.0,1.0,45.3472421693973,78.704114673934,44.8892192101099,64.2255439475992,93.1126363765872,47.9857078852852,1.0,1.0,56.7397195226764,59.2024331959907,1.0,1.0,52.1453466749642,40.7099973678628,85.1894075634443,87.1523663891218,57.1113406248754,1.0,205.164967862393,104.160713097845,1.0,51.1639808528162,58.4307505783339,54.2459960384127,51.3898078984981,67.7990194301797,68.7803212712987,57.7581115374661,37.6286083496021,69.9114147543799,56.6091030807098,1.0,57.4072053902116,1.0,70.3416340370793,76.0725137321718,82.2824723055125,2.598126299874628
TMEM45A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.1714857265133,1.0,1.0,1.0,90.4992270029492,1.0,1.0,80.2216441202014,1.0,1.0,1.0,1.0,118.371679460108,63.9315224296568,1.0,1.0,56.2142813282385,150.390031204616,1.0,1.0,1.0,63.9731169828778,52.6686317903568,1.0,94.985076809761,1.0,1.0,1.0,1.0,2.5960434016807667
PARP14,1.0,1.0,1.0,1.0,1.0,42.5777553403206,57.999726412248,1.0,73.8390126043022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.7945499137574,1.0,1.0,101.921694139284,49.4559650034027,127.776542149684,65.3586222351518,1.0,1.0,1.0,1.0,55.3341397602691,58.8611092365377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.053878788896,2.5959622943326965
RABGGTB,1.0,1.0,62.4825743465714,1.0,87.531079120058,50.8865162298439,43.0344852512633,51.1938819870008,40.5463903486986,61.6843177708721,54.5825672953265,37.5607835981086,1.0,64.2732004020454,72.7984344254367,88.9743466154206,79.4245232217298,71.7433105996462,40.9670129443696,51.2719427291034,57.1371048864224,63.2462590718603,77.343702130367,1.0,57.0787761773069,84.9879182055717,97.4968930806254,52.036396370777,1.0,83.2756852981043,1.0,1.0,139.104855342977,66.6702534030522,61.725690554965,1.0,1.0,65.2393714110551,84.7443727490358,1.0,1.0,58.0757031313141,2.5956211213950953
RAB5B,34.4983761725866,1.0,1.0,1.0,1.0,1.0,26.1468215525932,26.4864430388388,42.5221800645459,67.1346682362894,25.5316368212488,1.0,1.0,1.0,59.8238734850266,1.0,1.0,47.9607765046298,41.9142886679087,1.0,1.0,1.0,1.0,205.164967862393,1.0,1.0,41.7213918656228,47.8382843226824,1.0,32.2076044576156,63.5807811040958,1.0,78.2029639009668,1.0,1.0,1.0,53.244033647453,37.6312302131042,1.0,1.0,1.0,1.0,2.5954169263013225
GON4L,1.0,1.0,1.0,1.0,1.0,1.0,40.9011101358669,1.0,45.8664098754239,1.0,41.260247368304,1.0,1.0,55.684412977788,1.0,1.0,1.0,65.7931027086526,1.0,73.8071186183546,1.0,1.0,69.9240059422956,1.0,61.1780125126557,43.1363094724311,40.3819089060997,1.0,1.0,45.2215172923446,61.8322805917242,1.0,1.0,48.1706057165284,59.5760519665238,1.0,1.0,1.0,1.0,1.0,1.0,73.3524375650157,2.5949292317446444
PDXDC1,61.2420786407634,1.0,1.0,1.0,1.0,1.0,1.0,63.9304643640539,1.0,129.721449350496,61.7368330937199,85.9003654942368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.7328373076929,1.0,1.0,1.0,1.0,1.0,1.0,33.8985698773427,74.469843318927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.2242818707717,103.466573858022,1.0,99.7801850941431,1.0,1.0,1.0,2.5944083012596413
FAM3B,132.620397658781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,111.674429949021,33.5562815180161,57.2373789661415,1.0,1.0,1.0,1.0,1.0,1.0,83.4028099060209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,176.092227305399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.4178397372202,170.321849595913,1.0,65.9920846149987,1.0,1.0,1.0,2.593955022975669
SHARPIN,45.4397427732259,1.0,42.1954560328202,1.0,1.0,57.6981264859477,47.9167883174592,43.5859495143166,1.0,55.2757789364835,41.8988624277002,28.4681157214584,40.0394247580477,67.8700550080108,53.0921033935755,1.0,1.0,95.4068197760337,32.4813917132398,69.5931725576897,53.9605178614924,1.0,1.0,294.457829303851,80.2050034791418,62.7398316694856,54.9854605752702,40.5403653782507,1.0,46.273315803247,71.5950205147432,1.0,72.9239212824074,45.7002457054278,70.6896691144121,1.0,1.0,62.2219877538123,48.9576188516034,1.0,63.6702029913304,58.5727707586842,2.593758784889288
SNHG19,1.0,1.0,71.9524155523141,1.0,1.0,1.0,1.0,74.9847057475253,1.0,106.747077014087,91.4055128921725,53.5042829852156,1.0,1.0,1.0,1.0,1.0,1.0,25.9454064330379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.9218021958711,1.0,1.0,176.555917535348,1.0,1.0,1.0,71.8074895137522,1.0,32.5015095172711,1.0,50.4531786034497,35.2793338353103,1.0,1.0,1.0,2.593050540171756
RAP2B,1.0,1.0,49.7259311053691,1.0,1.0,1.0,1.0,54.3278072815641,54.7875453437528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,59.398131195091,1.0,1.0,137.056991017304,1.0,488.879746841965,142.728095690572,1.0,1.0,1.0,76.9507525804961,1.0,1.0,1.0,1.0,46.1251255627519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5929956710335254
CYGB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,192.179636540234,1.0,1.0,1.0,1.0,1.0,1.0,98.1011615716976,1.0,1.0,1.0,155.252462255142,97.2496487427559,1.0,1.0,1.0,1.0,186.827063851698,1.0,43.0164100840907,1.0,345.593832254022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5928420337331373
LRPPRC,1.0,1.0,1.0,1.0,1.0,34.1847368252345,52.2073923308539,59.1006060898227,1.0,1.0,61.3788208502326,78.5150847533491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.6316458285213,63.8560139488898,44.9689432912136,39.1228363588514,1.0,56.4855446868502,1.0,1.0,68.0822787651084,55.8715421938156,1.0,1.0,58.4930364731015,42.8445517564564,65.5435988745894,1.0,1.0,1.0,2.5915646303476736
HDHD3,145.264737783116,1.0,1.0,1.0,1.0,1.0,1.0,75.7325621273811,1.0,88.5761381593182,151.265384004981,108.783250504432,1.0,1.0,1.0,1.0,1.0,1.0,27.097942158012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,178.3630459581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.588949319512,1.0,80.5582102225438,1.0,1.0,1.0,2.591289134456212
BCL11B,1.0,1.0,60.6671717168685,268.103645359971,291.488703184186,184.627387108605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,241.26500968725,164.547716794759,1.0,2.5912744004662676
DCP2,1.0,1.0,1.0,1.0,1.0,74.5868720698615,56.900537598656,22.4112484324092,48.9441669200112,1.0,1.0,1.0,1.0,66.4660624426693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.109463534734,72.9704871283205,100.44311815533,1.0,53.2896148337796,38.173008265443,1.0,65.6881466655116,1.0,1.0,1.0,1.0,57.7204443830321,1.0,1.0,1.0,1.0,1.0,91.3500679319494,1.0,1.0,2.5908262553902723
TCIRG1,97.3059571332911,1.0,1.0,1.0,1.0,53.755051103072,38.8630629723211,1.0,86.7480618082935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,101.639281739767,1.0,1.0,1.0,1.0,1.0,40.2841132106738,188.309041659706,1.0,1.0,153.904957223189,1.0,1.0,1.0,1.0,1.0,1.0,55.8775068208739,1.0,80.4290680729987,1.0,2.590366358223783
