metabolite,mean_fibrotic_minus_adjacent_z,median_fibrotic_minus_adjacent_z,std_fibrotic_minus_adjacent_z,n_patients,n_positive_patients,n_negative_patients,positive_patient_fraction
Estrone sulfate,0.014985961666113542,-0.0332911850690159,0.20688558219341036,8,3,5,0.375
beta-Alanine,0.0033726868176611746,0.01991477669295105,0.10418603235546957,4,2,2,0.5
Digoxin,-0.0119552418159306,-0.0119552418159306,,1,0,1,0.0
Uracil,-0.02348510795125183,-0.018258286317109098,0.04748521877399882,6,1,5,0.16666666666666666
Deoxyadenosine,-0.02348510795125183,-0.018258286317109098,0.04748521877399882,6,1,5,0.16666666666666666
Cytosine,-0.02348510795125183,-0.018258286317109098,0.04748521877399882,6,1,5,0.16666666666666666
Deoxyinosine,-0.02348510795125183,-0.018258286317109098,0.04748521877399882,6,1,5,0.16666666666666666
Deoxyguanosine,-0.02348510795125183,-0.018258286317109098,0.04748521877399882,6,1,5,0.16666666666666666
Deoxycytidine,-0.02348510795125183,-0.018258286317109098,0.04748521877399882,6,1,5,0.16666666666666666
Deoxyuridine,-0.02348510795125183,-0.018258286317109098,0.04748521877399882,6,1,5,0.16666666666666666
Thymine,-0.02348510795125183,-0.018258286317109098,0.04748521877399882,6,1,5,0.16666666666666666
Guanine,-0.02348510795125183,-0.018258286317109098,0.04748521877399882,6,1,5,0.16666666666666666
Hypoxanthine,-0.02348510795125183,-0.018258286317109098,0.04748521877399882,6,1,5,0.16666666666666666
Hydroxycelecoxib,-0.02597473249633677,0.007501263018639737,0.20291677177906503,8,5,3,0.625
Dihomo-gamma-linolenic acid,-0.026393060394746606,0.028137200099862848,0.2642670123871265,8,5,3,0.625
gamma-Linolenic acid,-0.026393060394746606,0.028137200099862848,0.2642670123871265,8,5,3,0.625
alpha-Linolenic acid,-0.026393060394746606,0.028137200099862848,0.2642670123871265,8,5,3,0.625
Oleic acid,-0.026393060394746606,0.028137200099862848,0.2642670123871265,8,5,3,0.625
Linoleic acid,-0.026393060394746606,0.028137200099862848,0.2642670123871265,8,5,3,0.625
Cobalt,-0.030006136778240655,-0.1214719162008584,0.7770383579227683,8,4,4,0.5
Sodium-dependent phosphate transport,-0.032533163348485265,-0.03291399746076369,0.07610866580928392,3,1,2,0.3333333333333333
Triiodothyronine,-0.05658718602796525,-0.22599483918279545,0.4822981849083066,8,3,5,0.375
Liothyronine,-0.05658718602796525,-0.22599483918279545,0.4822981849083066,8,3,5,0.375
Thyroxine,-0.059501462272030486,-0.22599483918279545,0.4849525237613357,8,3,5,0.375
Putrescine,-0.06847573689189354,-0.02782057802704889,0.1969454865310273,5,2,3,0.4
Spermine,-0.06847573689189354,-0.02782057802704889,0.1969454865310273,5,2,3,0.4
Elaidic acid,-0.07922585043580455,0.06193892773162202,0.6811483454969013,5,4,1,0.8
Palmitoleic acid,-0.07922585043580455,0.06193892773162202,0.6811483454969013,5,4,1,0.8
