donor_id,status,annotation2v2,fraction,n_cells,bile_acid_transport_mean,ecm_remodeling_mean,epithelial_repair_mean,fatty_acid_metabolism_mean,glycolysis_mean,hypoxia_mean,inflammation_mean,oxidative_phosphorylation_mean,retinoid_vitamin_a_mean,epithelial_bile_urea_transport_mean,fibrotic_amino_acid_transport_mean
110645,N,Enterocyte-mito-hi,imu,407,0.02247135,0.0054074586,0.23835228,0.15755184,0.17267948,0.11843928,0.027670326,0.2838744,0.012487084,0.040887635,0.05453664
110645,N,Enteroendocrine cells,epi,1,0.0,0.08619058,0.18805218,0.09402609,0.21215521,0.06452953,0.0,0.30137306,0.058663208,0.0,0.0
110645,N,Enteroendocrine cells,imu,10,0.030585045,0.029746879,0.28175732,0.16037174,0.14582384,0.089753315,0.036511593,0.29603648,0.017645275,0.06455764,0.035835534
110645,N,Follicular helper T cells,imu,5,0.0,0.0,0.014215259,0.0,0.13886215,0.06962732,0.015636785,0.03072372,0.0,0.0,0.0
110645,N,GZMB-hi B cell,imu,2,0.0,0.0,0.04948041,0.077244475,0.20661417,0.12767893,0.10106689,0.33132374,0.021716343,0.0,0.30217874
110645,N,GZMK-hi CD8 T cells,imu,23,0.0049883155,0.0,0.023721786,0.025221584,0.15727487,0.052825358,0.03971831,0.1362316,0.003542819,0.009145244,0.073207505
110645,N,Goblet cells,epi,432,0.021436194,0.0070104175,0.81340986,0.118785664,0.09824537,0.08084833,0.026414989,0.17414664,0.018694086,0.04424108,0.06853396
110645,N,Goblet cells,imu,1242,0.023709726,0.011558885,0.73821646,0.12263867,0.10967357,0.08835796,0.035017665,0.15443736,0.01573499,0.04784913,0.06926451
110645,N,ILCs,imu,1,0.0,0.0,0.0,0.0,0.17149156,0.24008818,0.0,0.0,0.0,0.0,0.20007348
110645,N,Inflammatory fibroblasts,epi,1,0.0,0.44532812,0.0,0.0,0.060565136,0.21479765,0.0,0.0,0.11818768,0.0,0.0
110645,N,Inflammatory fibroblasts,imu,70,0.0074303593,0.3111361,0.041873235,0.046740446,0.05656801,0.14445454,0.09332783,0.02254347,0.040897418,0.016231513,0.10914129
110645,N,Intraepithelial Tgd,epi,6,0.0,0.0,0.04970926,0.061957676,0.103202455,0.0,0.012556269,0.066423886,0.0,0.0,0.10333226
110645,N,Intraepithelial Tgd,imu,15,0.0,0.004800183,0.025177639,0.06412976,0.17208257,0.10817675,0.025155805,0.17771998,0.0,0.0164304,0.03587223
110645,N,LP-associated NK-Tgd,epi,3,0.0,0.0,0.12586288,0.072388045,0.18670546,0.13735321,0.04098628,0.088343166,0.0,0.0,0.12700926
110645,N,LP-associated NK-Tgd,imu,17,0.0,0.012041173,0.03143168,0.026942782,0.15146571,0.07586321,0.13759883,0.13381197,0.0,0.010012662,0.050310817
110645,N,Lymphatic endothelium,epi,2,0.0,0.13986348,0.26071388,0.122249514,0.14908919,0.17271659,0.04870574,0.12614714,0.042609155,0.0,0.060596004
110645,N,Lymphatic endothelium,imu,18,0.0048217853,0.1116275,0.11450818,0.13013504,0.10989107,0.17798719,0.07854708,0.10174975,0.04750915,0.0,0.1815953
110645,N,Lyve1 macrophage,imu,20,0.005787062,0.051795464,0.022447381,0.075263724,0.190627,0.14345647,0.32083732,0.18613227,0.028619826,0.014660597,0.2119846
110645,N,M2-like macrophage,imu,1,0.0,0.028138317,0.0,0.0,0.16793145,0.033765983,0.033765983,0.20119938,0.030696347,0.056276634,0.20445114
110645,N,Mast cells,imu,3,0.019299405,0.081184,0.13443638,0.09139651,0.045491453,0.042458687,0.0,0.15276296,0.0,0.0,0.0
110645,N,Mito-hi endothelium,imu,138,0.0035363531,0.07468605,0.009229056,0.04160722,0.09132615,0.19033404,0.15510686,0.02632516,0.005134472,0.01602664,0.11636401
110645,N,Monocyte-HSP-hi,imu,2,0.0,0.06003296,0.022698835,0.06046695,0.24642678,0.17594966,0.6587026,0.17695042,0.022698835,0.0,0.16168045
110645,N,Monocyte-IL1B-hi,imu,7,0.007164255,0.05130074,0.03416608,0.0617463,0.082963385,0.08801096,0.1960465,0.093718596,0.0,0.0131344665,0.24201813
110645,N,Myofibroblasts,imu,23,0.008510137,0.3026967,0.027084382,0.0376894,0.034667816,0.052397925,0.03418145,0.021386353,0.010196454,0.015601919,0.061284505
