Disease Label,glycolysis_z_mean_mean,glycolysis_z_mean_std,glycolysis_z_mean_count,oxidative_phosphorylation_z_mean_mean,oxidative_phosphorylation_z_mean_std,oxidative_phosphorylation_z_mean_count,hypoxia_z_mean_mean,hypoxia_z_mean_std,hypoxia_z_mean_count,retinoid_vitamin_a_z_mean_mean,retinoid_vitamin_a_z_mean_std,retinoid_vitamin_a_z_mean_count,ecm_remodeling_z_mean_mean,ecm_remodeling_z_mean_std,ecm_remodeling_z_mean_count,inflammation_z_mean_mean,inflammation_z_mean_std,inflammation_z_mean_count,epithelial_repair_z_mean_mean,epithelial_repair_z_mean_std,epithelial_repair_z_mean_count,fatty_acid_metabolism_z_mean_mean,fatty_acid_metabolism_z_mean_std,fatty_acid_metabolism_z_mean_count,bile_acid_transport_z_mean_mean,bile_acid_transport_z_mean_std,bile_acid_transport_z_mean_count
Adjacent,0.11016724683707951,0.489005912777424,8,0.14961701580960313,0.5193272227507798,8,0.0743666411881104,0.3990861169897214,8,0.10227775762683036,0.3897860682953822,8,-0.12733036554263227,0.7552944586428552,8,-0.11628412183914859,0.4433768519117937,8,0.2796209605469974,0.6454419177218225,8,0.22118620928005622,0.465730159813946,8,0.2929509922106896,0.6695312794132665,8
Adjacent (Disease Control),-0.23215608829070492,0.2523593284488517,2,0.10728670445462038,0.31918583470664386,2,-0.1649510095929179,0.2057667217314661,2,0.09333337052469501,0.09513130659215162,2,-0.26197014485983644,0.14026510136973988,2,-0.3548590372800901,0.13282027355918935,2,-0.00038175333726876703,0.1903512706812548,2,0.2509373600113592,0.3775547999867011,2,0.5721486714426919,0.3658074382969052,2
Fibrotic,0.031476166379589346,0.360688842792857,10,-0.09523157684622333,0.47044582562061604,10,0.053220091170531766,0.45682493834519117,10,-0.06847486076700757,0.31016642807128236,10,0.15205944328419102,0.49843633100840407,10,0.21294757361903544,0.7122186782078239,10,-0.18515655951226992,0.6961391829669338,10,-0.13580943943085186,0.6714560274522567,10,-0.26181286190880654,0.30107112322317053,10
