top_fraction,region,gene,priority,mean_fibrotic_minus_adjacent_region_expression,median_fibrotic_minus_adjacent_region_expression,n_patients,positive_patient_fraction
0.1,epithelial_absorptive_region,ABCB1,False,-0.30701846853059434,-0.01640611554026465,8,0.5
0.1,epithelial_absorptive_region,ABCC3,False,-0.13594158458594938,-0.08975063936366497,8,0.375
0.1,epithelial_absorptive_region,SLC10A2,True,-0.6465509988367305,-0.17154063298740424,8,0.25
0.1,epithelial_absorptive_region,SLC15A3,False,0.12220982820016385,0.09175979560359389,8,0.875
0.1,epithelial_absorptive_region,SLC1A4,False,0.0336948297342509,0.022497319462985374,8,0.75
0.1,epithelial_absorptive_region,SLC1A5,False,0.030719521072419667,0.028926463922694483,8,0.625
0.1,epithelial_absorptive_region,SLC38A2,False,0.1305157902745585,0.16134132206385457,8,0.75
0.1,epithelial_absorptive_region,SLC51A,True,-0.3644552185199733,-0.4314845827162135,8,0.125
0.1,epithelial_absorptive_region,SLC51B,True,-0.3297106669236413,-0.3589026001280609,8,0.375
0.1,epithelial_absorptive_region,SLC5A1,True,-0.8737864956402033,-0.24675797718473932,8,0.375
0.1,epithelial_absorptive_region,SLC7A5,False,0.028713018126432444,0.0027805812626836186,8,0.625
0.1,epithelial_absorptive_region,SLCO2B1,False,0.0008940590245892291,0.04696780663678282,8,0.625
0.1,epithelial_bile_region,ABCB1,True,-0.3159800210761149,-0.043633656999413725,8,0.5
0.1,epithelial_bile_region,ABCC3,True,-0.10543865320768375,-0.020755572209078033,8,0.5
0.1,epithelial_bile_region,SLC10A2,True,-0.6720773081347873,-0.1876346057115154,8,0.25
0.1,epithelial_bile_region,SLC15A3,False,0.13948360869845172,0.12295535281241671,8,0.875
0.1,epithelial_bile_region,SLC1A4,False,0.0317434259164773,0.02100442294956077,8,0.625
0.1,epithelial_bile_region,SLC1A5,False,0.04260652465554157,0.04623519095715758,8,0.625
0.1,epithelial_bile_region,SLC38A2,False,0.11258497415571572,0.1283311911994731,8,0.75
0.1,epithelial_bile_region,SLC51A,True,-0.37707132125318416,-0.520159829285191,8,0.25
0.1,epithelial_bile_region,SLC51B,True,-0.34214454515894205,-0.3876419709108785,8,0.375
0.1,epithelial_bile_region,SLC5A1,True,-0.8626656108879142,-0.23831624874858154,8,0.375
0.1,epithelial_bile_region,SLC7A5,False,0.034317407561406735,0.00628968966505403,8,0.625
0.1,epithelial_bile_region,SLCO2B1,False,0.014713226795512062,0.07020682047353408,8,0.625
0.1,immune_inflammatory_region,ABCB1,False,-0.018373102758541173,-0.0007306407450680917,8,0.5
0.1,immune_inflammatory_region,ABCC3,False,-0.01222430327746214,0.0018282617097573391,8,0.5
0.1,immune_inflammatory_region,SLC10A2,False,-0.10635441010947232,-0.03261667426428096,8,0.125
0.1,immune_inflammatory_region,SLC15A3,False,0.06628113838210795,0.07488499430691084,8,0.75
0.1,immune_inflammatory_region,SLC1A4,False,0.021099018362826134,0.027235161281429714,8,0.75
0.1,immune_inflammatory_region,SLC1A5,False,0.009446750887197356,0.021470975699979508,8,0.625
0.1,immune_inflammatory_region,SLC38A2,False,0.07601481964720162,0.09146762728126684,8,0.75
0.1,immune_inflammatory_region,SLC51A,False,-0.025003202571310827,-0.03974852778178943,8,0.25
0.1,immune_inflammatory_region,SLC51B,False,-0.025819865059467137,-0.03018692908498304,8,0.25
0.1,immune_inflammatory_region,SLC5A1,False,-0.07059445612491726,-0.19427629018665254,8,0.375
0.1,immune_inflammatory_region,SLC7A5,False,0.03667403089470014,0.035685025925827576,8,0.875
0.1,immune_inflammatory_region,SLCO2B1,True,0.06929219874995995,0.07358885423897579,8,0.875
0.1,stromal_fibrotic_region,ABCB1,False,-0.02084351607773747,-0.009826670324634402,8,0.5
0.1,stromal_fibrotic_region,ABCC3,False,-0.002282457087794544,0.014527180770133416,8,0.625
0.1,stromal_fibrotic_region,SLC10A2,False,-0.06674542719950763,-0.0064444203642334665,8,0.125
0.1,stromal_fibrotic_region,SLC15A3,True,0.05947726964190832,0.058478092374152135,8,0.75
0.1,stromal_fibrotic_region,SLC1A4,False,0.02695025692487423,0.0261612971044707,8,0.75
0.1,stromal_fibrotic_region,SLC1A5,False,0.023060906483286757,0.02456275408837366,8,0.625
0.1,stromal_fibrotic_region,SLC38A2,True,0.04143460801451693,0.00765795485971249,8,0.5
0.1,stromal_fibrotic_region,SLC51A,False,-0.020459862169775633,-0.030800032175223244,8,0.25
0.1,stromal_fibrotic_region,SLC51B,False,-0.017418344815102522,-0.012216697852012046,8,0.375
0.1,stromal_fibrotic_region,SLC5A1,False,-0.03964907473467967,-0.06942737147853806,8,0.375
0.1,stromal_fibrotic_region,SLC7A5,False,0.015316066938297184,0.004509777677016168,8,0.75
0.1,stromal_fibrotic_region,SLCO2B1,True,0.069646483508188,0.09831951954710161,8,0.75
0.2,epithelial_absorptive_region,ABCB1,False,-0.2100810106224444,-0.017662851870986714,8,0.5
0.2,epithelial_absorptive_region,ABCC3,False,-0.07271006470744677,-0.05272398887958611,8,0.5
0.2,epithelial_absorptive_region,SLC10A2,True,-0.49086276197347245,-0.1484118203211896,8,0.25
0.2,epithelial_absorptive_region,SLC15A3,False,0.11700251603751274,0.08495606460229649,8,0.875
0.2,epithelial_absorptive_region,SLC1A4,False,0.0328297340256964,0.029242559090103454,8,0.875
0.2,epithelial_absorptive_region,SLC1A5,False,0.03335943587018306,0.027622593846047937,8,0.75
0.2,epithelial_absorptive_region,SLC38A2,False,0.11501733598450009,0.08793023992510546,8,0.625
0.2,epithelial_absorptive_region,SLC51A,True,-0.24056509946269178,-0.39553936348742236,8,0.25
0.2,epithelial_absorptive_region,SLC51B,True,-0.23203761167715192,-0.29632351388156314,8,0.375
0.2,epithelial_absorptive_region,SLC5A1,True,-0.6235317678628994,-0.28617230110750647,8,0.375
0.2,epithelial_absorptive_region,SLC7A5,False,0.033681873395303215,0.006915386106396141,8,0.625
