top_fraction,region,gene,mean_expression_in_region,mean_expression_outside_region,in_region_minus_outside,in_region_to_outside_ratio,n_in_region_spots,n_outside_region_spots,priority
0.1,epithelial_bile_region,ABCB1,0.43745779293654125,0.08400734742491889,0.35345044551162236,5.207375382582063,5890,52925,True
0.1,epithelial_bile_region,ABCC3,0.3805087326603652,0.059821255833234326,0.3206874768271309,6.360761360830034,5890,52925,True
0.1,epithelial_bile_region,SLC10A2,0.43551441906415345,0.06000881474621745,0.375505604317936,7.25750743296601,5890,52925,True
0.1,epithelial_bile_region,SLC15A3,0.2060978805004336,0.25584034168331704,-0.049742461182883446,0.8055722531653925,5890,52925,False
0.1,epithelial_bile_region,SLC1A4,0.08741228635373868,0.10102564592447605,-0.013613359570737366,0.8652484777883594,5890,52925,False
0.1,epithelial_bile_region,SLC1A5,0.1392258868696633,0.17560829027663666,-0.03638240340697335,0.7928206957105501,5890,52925,False
0.1,epithelial_bile_region,SLC38A2,0.5943634197950768,0.7230184720437596,-0.1286550522486828,0.8220584159004777,5890,52925,False
0.1,epithelial_bile_region,SLC51A,0.5393304264251971,0.0683050548627684,0.47102537156242874,7.895907960381046,5890,52925,True
0.1,epithelial_bile_region,SLC51B,0.4832289738065116,0.06059589947204743,0.4226330743344642,7.974615081494459,5890,52925,True
0.1,epithelial_bile_region,SLC5A1,1.559331169322209,0.4058881155265971,1.1534430537956117,3.841775872888372,5890,52925,True
0.1,epithelial_bile_region,SLC7A5,0.07662153257427069,0.08242443717900007,-0.005802904604729375,0.9295972796013483,5890,52925,False
0.1,epithelial_bile_region,SLCO2B1,0.4596324393649053,0.36401746524101053,0.09561497412389475,1.2626658972546536,5890,52925,False
0.1,epithelial_absorptive_region,ABCB1,0.43160911564966614,0.08465824415084602,0.3469508714988201,5.098252627122942,5890,52925,False
0.1,epithelial_absorptive_region,ABCC3,0.30564186591876386,0.0681531565438254,0.23748870937493846,4.484632574900959,5890,52925,False
0.1,epithelial_absorptive_region,SLC10A2,0.4027632664920721,0.06365367612835367,0.33910959036371846,6.327415649646458,5890,52925,True
0.1,epithelial_absorptive_region,SLC15A3,0.18824743247118184,0.2578269102027746,-0.06957947773159276,0.7301310492497847,5890,52925,False
0.1,epithelial_absorptive_region,SLC1A4,0.0870113633939892,0.10107026446454076,-0.014058901070551563,0.8608997300537988,5890,52925,False
