top_fraction,region,Patient_ID,gene,adjacent_region_mean_expression,fibrotic_region_mean_expression,fibrotic_minus_adjacent_region_expression,priority
0.1,epithelial_absorptive_region,106392,ABCB1,0.3583827656234654,0.4640236738012798,0.10564090817781441,False
0.1,epithelial_absorptive_region,106392,ABCC3,0.3413322844975431,0.334879060289753,-0.006453224207790098,False
0.1,epithelial_absorptive_region,106392,SLC10A2,0.09514251702897986,0.06469540404739664,-0.030447112981583216,True
0.1,epithelial_absorptive_region,106392,SLC15A3,0.18945222096124165,0.23095838810080913,0.04150616713956748,False
0.1,epithelial_absorptive_region,106392,SLC1A4,0.07902285745236236,0.06083227645105391,-0.01819058100130845,False
0.1,epithelial_absorptive_region,106392,SLC1A5,0.06971296290276756,0.05747433162447232,-0.01223863127829524,False
0.1,epithelial_absorptive_region,106392,SLC38A2,0.5201607850760641,0.5418253758505209,0.021664590774456816,False
0.1,epithelial_absorptive_region,106392,SLC51A,0.5154077626869712,0.4846554246411395,-0.030752338045831717,True
0.1,epithelial_absorptive_region,106392,SLC51B,0.422804366692271,0.6399753216042448,0.21717095491197375,True
0.1,epithelial_absorptive_region,106392,SLC5A1,2.1352916672615936,2.6186428692803454,0.4833512020187518,True
0.1,epithelial_absorptive_region,106392,SLC7A5,0.042365363680980574,0.047086377953415484,0.0047210142724349105,False
0.1,epithelial_absorptive_region,106392,SLCO2B1,0.39761089748689826,0.4732717228914375,0.07566082540453922,False
0.1,epithelial_absorptive_region,110201,ABCB1,0.445935326358003,0.7187030673101173,0.27276774095211437,False
0.1,epithelial_absorptive_region,110201,ABCC3,0.35174741547915245,0.6133534611012805,0.2616060456221281,False
0.1,epithelial_absorptive_region,110201,SLC10A2,0.3994173602231087,0.09003649222020486,-0.3093808680029038,True
0.1,epithelial_absorptive_region,110201,SLC15A3,0.07491943071926793,0.0602179855034126,-0.014701445215855334,False
0.1,epithelial_absorptive_region,110201,SLC1A4,0.02099762220055826,0.03509302622643276,0.0140954040258745,False
0.1,epithelial_absorptive_region,110201,SLC1A5,0.09683558356858069,0.11374279493419685,0.016907211365616168,False
0.1,epithelial_absorptive_region,110201,SLC38A2,0.39585634176769563,0.30762408162230875,-0.08823226014538688,False
0.1,epithelial_absorptive_region,110201,SLC51A,1.3877262184696812,0.7944149291559831,-0.5933112893136981,True
0.1,epithelial_absorptive_region,110201,SLC51B,1.4490918377714772,0.7729491546601799,-0.6761426831112973,True
0.1,epithelial_absorptive_region,110201,SLC5A1,3.076218814619126,2.86803630898841,-0.20818250563071583,True
0.1,epithelial_absorptive_region,110201,SLC7A5,0.051650244021607984,0.019356161652512808,-0.03229408236909517,False
0.1,epithelial_absorptive_region,110201,SLCO2B1,0.44873280823230743,0.46700759610133386,0.01827478786902642,False
0.1,epithelial_absorptive_region,110748,ABCB1,1.0558952415690703,0.01682545873055975,-1.0390697828385105,False
0.1,epithelial_absorptive_region,110748,ABCC3,0.47730643784298615,0.029323608580842077,-0.44798282926214406,False
0.1,epithelial_absorptive_region,110748,SLC10A2,1.6601351229583516,0.0,-1.6601351229583516,True
0.1,epithelial_absorptive_region,110748,SLC15A3,0.12043991760880339,0.2369576713227364,0.11651775371393301,False
0.1,epithelial_absorptive_region,110748,SLC1A4,0.07198578499111474,0.09882045151239419,0.026834666521279443,False
0.1,epithelial_absorptive_region,110748,SLC1A5,0.17163593950224856,0.12842116397188372,-0.043214775530364846,False
0.1,epithelial_absorptive_region,110748,SLC38A2,0.6508409969362559,1.048544377627143,0.3977033806908872,False
0.1,epithelial_absorptive_region,110748,SLC51A,1.01864079599287,0.0,-1.01864079599287,True
0.1,epithelial_absorptive_region,110748,SLC51B,0.9123869057963876,0.0,-0.9123869057963876,True
0.1,epithelial_absorptive_region,110748,SLC5A1,2.4880569584229413,0.008260948830340282,-2.479796009592601,True
0.1,epithelial_absorptive_region,110748,SLC7A5,0.03464496042214188,0.06897363838661148,0.0343286779644696,False
0.1,epithelial_absorptive_region,110748,SLCO2B1,0.627393195383689,0.4614749324608998,-0.16591826292278916,False
0.1,epithelial_absorptive_region,112584,ABCB1,0.1326130364428867,0.03561999768980088,-0.09699303875308582,False
0.1,epithelial_absorptive_region,112584,ABCC3,0.005348919015942198,0.025754877155826937,0.020405958139884738,False
0.1,epithelial_absorptive_region,112584,SLC10A2,0.03370039797190464,0.0,-0.03370039797190464,True
0.1,epithelial_absorptive_region,112584,SLC15A3,0.14221391759135507,0.2888499387810307,0.14663602118967564,False
0.1,epithelial_absorptive_region,112584,SLC1A4,0.04423917694525285,0.10952845568298011,0.06528927873772726,False
0.1,epithelial_absorptive_region,112584,SLC1A5,0.121913086735841,0.17099535128762644,0.04908226455178544,False
0.1,epithelial_absorptive_region,112584,SLC38A2,0.8822136812589385,0.7135009352237948,-0.16871274603514375,False
0.1,epithelial_absorptive_region,112584,SLC51A,0.013979651259653496,0.0018386425830984629,-0.012141008676555032,True
0.1,epithelial_absorptive_region,112584,SLC51B,0.04166251714482452,0.0,-0.04166251714482452,True
0.1,epithelial_absorptive_region,112584,SLC5A1,0.2853334487387628,0.0,-0.2853334487387628,True
0.1,epithelial_absorptive_region,112584,SLC7A5,0.021076773377982052,0.04947543112180566,0.02839865774382361,False
0.1,epithelial_absorptive_region,112584,SLCO2B1,0.28120622083996283,0.39428710312612597,0.11308088228616314,False
0.1,epithelial_absorptive_region,117351,ABCB1,1.1541523163181704,0.026614922412303788,-1.1275373939058666,False
0.1,epithelial_absorptive_region,117351,ABCC3,0.3507760462628023,0.17772799174326245,-0.17304805451953983,False
0.1,epithelial_absorptive_region,117351,SLC10A2,1.9086959519096323,0.007147480097767336,-1.901548471811865,True
0.1,epithelial_absorptive_region,117351,SLC15A3,0.12683723474273811,0.4669525218672543,0.34011528712451616,False
0.1,epithelial_absorptive_region,117351,SLC1A4,0.07557338722855658,0.197352356415471,0.12177896918691442,False
0.1,epithelial_absorptive_region,117351,SLC1A5,0.188400066835252,0.29558590561430137,0.10718583877904936,False
0.1,epithelial_absorptive_region,117351,SLC38A2,0.6094670626460701,0.8905274056613909,0.2810603430153208,False
0.1,epithelial_absorptive_region,117351,SLC51A,0.9324267790526957,0.0518030924423755,-0.8806236866103202,True
0.1,epithelial_absorptive_region,117351,SLC51B,1.180751236608705,0.02784862702962834,-1.1529026095790766,True
0.1,epithelial_absorptive_region,117351,SLC5A1,2.4373343933273004,0.09601222166915217,-2.341322171658148,True
0.1,epithelial_absorptive_region,117351,SLC7A5,0.06911491421428886,0.3089183156150495,0.23980340140076065,False
0.1,epithelial_absorptive_region,117351,SLCO2B1,0.7276095774125408,0.5411160068307542,-0.18649357058178662,False
0.1,epithelial_absorptive_region,120359,ABCB1,0.1981462608127631,0.2623270684853196,0.06418080767255652,False
0.1,epithelial_absorptive_region,120359,ABCC3,0.8419839846071346,0.16641541985639682,-0.6755685647507378,False
0.1,epithelial_absorptive_region,120359,SLC10A2,0.01927865631589594,0.1304478010473152,0.11116914473141927,True
0.1,epithelial_absorptive_region,120359,SLC15A3,0.08967737853527069,0.11078524325663845,0.02110786472136776,False
0.1,epithelial_absorptive_region,120359,SLC1A4,0.137703309803046,0.1353714675254499,-0.0023318422775960856,False
0.1,epithelial_absorptive_region,120359,SLC1A5,0.14103065509089205,0.10617636831011623,-0.03485428678077582,False
0.1,epithelial_absorptive_region,120359,SLC38A2,0.48222046316594114,0.7601808329345658,0.2779603697686247,False
0.1,epithelial_absorptive_region,120359,SLC51A,0.448752079245656,0.17909420312692723,-0.2696578761187288,True
0.1,epithelial_absorptive_region,120359,SLC51B,0.15019411761169285,0.17417281485783556,0.02397869724614271,True
0.1,epithelial_absorptive_region,120359,SLC5A1,0.7475255454002425,0.9595200638286769,0.21199451842843442,True
0.1,epithelial_absorptive_region,120359,SLC7A5,0.10172619884328325,0.06703718627492587,-0.03468901256835738,False
0.1,epithelial_absorptive_region,120359,SLCO2B1,0.2564206983922988,0.4131971898799141,0.1567764914876153,False
0.1,epithelial_absorptive_region,143371,ABCB1,0.3436898256537533,0.6576822611636349,0.31399243550988165,False
0.1,epithelial_absorptive_region,143371,ABCC3,0.37113086184326843,0.7058952835255435,0.3347644216822751,False
0.1,epithelial_absorptive_region,143371,SLC10A2,0.034828281250464665,0.07397023269108363,0.039141951440618966,True
0.1,epithelial_absorptive_region,143371,SLC15A3,0.08455025392590985,0.15155209141916462,0.06700183749325477,False
0.1,epithelial_absorptive_region,143371,SLC1A4,0.03916122893999458,0.057321201344685886,0.018159972404691305,False
0.1,epithelial_absorptive_region,143371,SLC1A5,0.0433345153547495,0.0842802318345223,0.0409457164797728,False
0.1,epithelial_absorptive_region,143371,SLC38A2,0.3507681734116614,0.42554714324484977,0.07477896983318838,False
0.1,epithelial_absorptive_region,143371,SLC51A,0.7238589882020884,1.4836147837340832,0.7597557955319948,True
0.1,epithelial_absorptive_region,143371,SLC51B,0.40743639560420664,1.0337424398000752,0.6263060441958685,True
0.1,epithelial_absorptive_region,143371,SLC5A1,2.67782359886612,3.272227774773325,0.5944041759072052,True
0.1,epithelial_absorptive_region,143371,SLC7A5,0.057454864864006396,0.05829501311693872,0.0008401482529323268,False
0.1,epithelial_absorptive_region,143371,SLCO2B1,0.3391510770589182,0.4447106289278184,0.10555955186890015,False
0.1,epithelial_absorptive_region,144119,ABCB1,0.9744648210580836,0.025335395998424954,-0.9491294250596587,False
0.1,epithelial_absorptive_region,144119,ABCC3,0.4012564293916713,0.0,-0.4012564293916713,False
0.1,epithelial_absorptive_region,144119,SLC10A2,1.3875071131392738,0.0,-1.3875071131392738,True
0.1,epithelial_absorptive_region,144119,SLC15A3,0.04987248449035771,0.30936762392520906,0.25949513943485136,False
0.1,epithelial_absorptive_region,144119,SLC1A4,0.01467945760126272,0.05860222787768753,0.043922770276424807,False
0.1,epithelial_absorptive_region,144119,SLC1A5,0.09010860752005603,0.2120514385126255,0.12194283099256947,False
0.1,epithelial_absorptive_region,144119,SLC38A2,0.4112830171927563,0.659186691487277,0.24790367429452076,False
0.1,epithelial_absorptive_region,144119,SLC51A,0.8702705489337773,0.0,-0.8702705489337773,True
