marker_set,deconvolved_cell_type,n_patients,marker_mean_fibrotic_minus_adjacent,deconv_mean_fibrotic_minus_adjacent,same_mean_direction,marker_positive_patient_fraction,deconv_positive_patient_fraction,paired_difference_spearman_r,paired_difference_spearman_p
B_plasma,B_plasma,8,0.8159148170833334,0.16367407334736794,True,0.625,0.75,0.9761904761904763,3.314396026200098e-05
B_cells,Mature_B,8,0.18897527916666662,0.002332860788559816,True,0.5,0.625,0.9523809523809524,0.000260400024387251
Absorptive,Absorptive,8,-0.20425263297499996,-0.04600327620257474,True,0.375,0.25,0.8571428571428572,0.0065300172547152905
Secretory,Secretory,8,-0.21506242779166668,-0.027674880115028673,True,0.25,0.25,0.9523809523809524,0.000260400024387251
Fibroblast,Fibroblast,8,0.13784500916666667,-0.009984881661037937,False,0.625,0.5,0.8095238095238096,0.014902667686230072
Myofibroblast,Myofibroblast,8,0.0819044758333333,-0.03298576423399522,False,0.375,0.25,0.8095238095238096,0.014902667686230072
Macrophage,Macrophage,8,0.14661536541666667,0.0028368764837806504,True,0.625,0.5,0.880952380952381,0.0038503204637324005
Endothelial,Vascular_endothelia,8,0.07048062875,-0.007092897832941638,False,0.75,0.375,0.8571428571428572,0.0065300172547152905
Pericyte,Pericyte,8,-0.007169616666666656,-0.004180933959918493,True,0.375,0.375,0.30952380952380953,0.4556448907375822
