analysis_layer,feature,comparison,disease_control_mean,comparison_mean,difference_vs_disease_control,n_disease_control_slides,n_comparison_slides
slide_transporter_expression,SLC15A3,Fibrotic_minus_DiseaseControl,0.1069064218767765,0.3125993181944645,0.205692896317688,2,10
slide_transporter_expression,SLCO2B1,Adjacent_minus_DiseaseControl,0.2862254177848089,0.32387178603250855,0.037646368247699624,2,8
slide_transporter_expression,SLCO2B1,Fibrotic_minus_DiseaseControl,0.2862254177848089,0.42257182640811985,0.13634640862331093,2,10
region_transporter_expression,epithelial_bile_region::SLC5A1,Adjacent_minus_DiseaseControl,2.2922204088265286,1.7359059024593617,-0.5563145063671668,2,8
region_transporter_expression,epithelial_bile_region::SLC5A1,Fibrotic_minus_DiseaseControl,2.2922204088265286,0.8924810323989971,-1.3997393764275314,2,10
region_transporter_expression,epithelial_bile_region::SLC10A2,Adjacent_minus_DiseaseControl,1.1617031415604133,0.5466963096994809,-0.6150068318609324,2,8
region_transporter_expression,epithelial_bile_region::SLC10A2,Fibrotic_minus_DiseaseControl,1.1617031415604133,0.032982903511265246,-1.1287202380491481,2,10
region_transporter_expression,epithelial_bile_region::SLC51A,Adjacent_minus_DiseaseControl,0.7327241611691568,0.58644655756153,-0.14627760360762687,2,8
region_transporter_expression,epithelial_bile_region::SLC51A,Fibrotic_minus_DiseaseControl,0.7327241611691568,0.28554404624093643,-0.4471801149282204,2,10
region_transporter_expression,epithelial_bile_region::SLC51B,Adjacent_minus_DiseaseControl,0.6398124537534357,0.5242316056098795,-0.11558084814355618,2,8
region_transporter_expression,epithelial_bile_region::SLC51B,Fibrotic_minus_DiseaseControl,0.6398124537534357,0.23371802122896645,-0.4060944325244692,2,10
region_transporter_expression,stromal_fibrotic_region::SLC38A2,Adjacent_minus_DiseaseControl,0.7846212438295253,0.7798645209441691,-0.004756722885356113,2,8
region_transporter_expression,stromal_fibrotic_region::SLC38A2,Fibrotic_minus_DiseaseControl,0.7846212438295253,0.9009251218705,0.11630387804097475,2,10
region_transporter_expression,stromal_fibrotic_region::SLC15A3,Adjacent_minus_DiseaseControl,0.15452313545455076,0.258461144700905,0.10393800924635421,2,8
region_transporter_expression,stromal_fibrotic_region::SLC15A3,Fibrotic_minus_DiseaseControl,0.15452313545455076,0.3894615992655302,0.23493846381097944,2,10
region_transporter_expression,stromal_fibrotic_region::SLCO2B1,Adjacent_minus_DiseaseControl,0.34339745978657954,0.39432232941636597,0.05092486962978643,2,8
region_transporter_expression,stromal_fibrotic_region::SLCO2B1,Fibrotic_minus_DiseaseControl,0.34339745978657954,0.5075048249753046,0.16410736518872504,2,10
region_transporter_expression,immune_inflammatory_region::SLCO2B1,Adjacent_minus_DiseaseControl,0.3883150657881699,0.4373282200919902,0.049013154303820305,2,8
region_transporter_expression,immune_inflammatory_region::SLCO2B1,Fibrotic_minus_DiseaseControl,0.3883150657881699,0.5130956387144477,0.12478057292627787,2,10
